Utility,Year,Measurement (service lines),size,Match,PWSID,MatchType
Delaware Township Municipal Utilities Authority (DTMUA) - Drinking Water,2022,0,Small,Delaware Twp MUA,NJ1007001,manual
Denville Township Utilities Department,2022,212,Large,Denville Twp WD,NJ1408001,manual
Deptford Township Municipal Utilities Authority,2022,143,Large,Deptford,NJ0802001,manual
Dover Water Commission,2022,139,Large,Dover Water Commission,NJ1409001,join
Veolia Water New Jersey - East Brookwood,2022,0,Small,East Brookwood,NJ1904002,manual
East Brunswick Township Water Utility,2022,57,Large,East Brunswick WU,NJ1204001,manual
East Greenwich Township Water Department,2022,140,Medium,East Greenwich Twp WD,NJ0803001,manual
East Hanover Township Water Department,2022,0,Large,East Hanover Twp WD,NJ1410001,manual
East Newark Water Department,2022,12,Small,East Newark WD,NJ0902001,manual
East Orange Water Commission,2022,7969,Large,East Orange WC,NJ0705001,manual
East Windsor Municipal Utilities Authority - Drinking Water,2022,0,Large,East Windsor MUA,NJ1101002,manual
Edison Water Department,2022,38,Large,Edison,NJ1205001,manual
Egg Harbor City Water Department,2022,11,Medium,NJ American Water Egg Harbor City,NJ0107001,manual
Elmer Borough Water Department,2022,205,Small,Elmer,NJ1702001,manual
Elmwood Park Water Department,2022,230,Large,Elmwood,NJ0211001,manual
Englishtown Water Department,2022,0,Small,Englishtown,NJ1312001,manual
Essex Fells Water Department,2022,398,Small,Essex Fells WD,NJ0706001,manual
Evesham Municipal Utilities Authority - Drinking Water,2022,7,Large,Evesham MUA,NJ0313001,manual
Fair Lawn Water Department,2022,1,Large,Fair,NJ0217001,manual
Fairfield Water Department,2022,0,Medium,Fairfield,NJ0707001,manual
Farmingdale Water Department,2022,137,Small,Farmingdale,NJ1314001,manual
Fayson Lake Water Company,2022,5,Small,Fayson,NJ1415001,manual
Fieldsboro - Drinking Water,2022,0,Small,Fieldsboro,NJ0314001,manual
Flemington Water Department,2022,32,Medium,Flemington,NJ1009001,manual
Florence Township - Drinking Water,2022,126,Medium,Florence,NJ0315001,manual
Florham Park - Drinking Water,2022,0,Medium,Florham,NJ1411001,manual
Forest Lakes Water Company,2022,0,Small,Forest,NJ1904003,manual
Franklin Borough Board of Public Works,2022,12,Small,Franklin Board of Public Works,NJ1906002,manual
Veolia Water New Jersey - Franklin Lakes,2022,2,Medium,Franklin Lakes,NJ0220001,manual
Franklin Township Department of Public Works,2022,0,Large,Franklin Twp DPW,NJ1808001,manual
Freehold Borough Water Department,2022,26,Large,Freehold Boro WD,NJ1315001,manual
Freehold Township Water Department,2022,0,Large,Freehold Twp WD,NJ1316001,manual
NJ American Water - Frenchtown,2022,95,Small,Frenchtown,NJ1011001,manual
Garfield Water Department,2022,247,Large,Garfield,NJ0221001,manual
Glassboro Water Department,2022,86,Large,Glassboro,NJ0806001,manual
Glen Gardner Water Department,2022,0,Small,Glen Gardner WD,NJ1012001,manual
Glen Ridge Water Department,2022,101,Medium,Glen Ridge WD,NJ0708001,manual
Gloucester City Water Department,2022,12,Large,Gloucester City WD,NJ0414001,manual
Gordons Corner Water Company,2022,0,Large,Gordon's Corner WC,NJ1326001,manual
Veolia Water New Jersey - Greenbrook Estates,2022,0,Small,Greenbrook Estates,NJ1615002,manual
Greenwich Township - Drinking Water,2022,0,Medium,Greenwich,NJ0807001,manual
Veolia North America New Jersey - Hackensack,2022,20736,Large,Hackensack,NJ0238001,manual
Hackettstown Municipal Utilities Authority (HMUA) w/Diamond Hill - Drinking Water,2022,66,Large,Hackettstown,NJ2108001,manual
Haddon Township Water Department,2022,288,Large,Haddon,NJ0416001,manual
Hamburg Board of Public Works,2022,0,Medium,Hamburg,NJ1909001,manual
Hamilton Township Municipal Utilities Authority (HTMUA),2022,236,Large,Hamilton,NJ0112001,manual
Hammonton - Drinking Water,2022,1,Large,Hammonton,NJ0113001,manual
Hampton Borough Water Department,2022,6,Small,Hampton,NJ1013001,manual
Veolia Water New Jersey - Hampton,2022,0,Small,Hampton,NJ1013001,manual
Hardyston Township Municipal Utilities Authority (HTMUA) - Indian Fields,2022,0,Small,Hardyston,NJ1911005,manual
Harrison Town Water Department,2022,137,Large,Harrison,NJ0904001,manual
NJ American Water - Harrison,2022,15,Medium,Harrison,NJ0904001,manual
Harvey Cedars Water Department,2022,0,Small,Harvey,NJ1509001,manual
Hawthorne Water Department,2022,4710,Large,Hawthorne,NJ1604001,manual
Helmetta Water Department,2022,0,Small,Helmetta,NJ1206001,manual
High Bridge Water Department,2022,181,Small,High,NJ1014001,manual
Highland Park - Drinking Water (Middlesex Water Company via Utilities Services Affiliates),2022,14,Large,Highland,NJ1207001,manual
Hightstown Borough - Drinking Water,2022,87,Medium,Hightstown,NJ1104001,manual
Ho Ho Kus Water Department,2022,23,Medium,Ho-Ho-Kus WD,NJ0228001,manual
Hoboken Water Utility - Veolia ,2022,99,Large,Hoboken,NJ0905001,manual
NJ American Water - Homestead,2022,0,Small,Homestead,NJ0318002,manual
Hopatcong Water Department,2022,46,Medium,Hopatcong,NJ1912001,manual
Hopewell Boro Water Department,2022,163,Small,Hopewell Boro WD,NJ1105001,manual
Hopewell Township Water Department,2022,0,Small,Hopewell Twp Water and Sewer,NJ1106001,manual
Island Heights Water Department,2022,0,Small,Island Heights WD,NJ1510001,manual
NJ American Water - ITC,2022,0,Small,ITC,NJ1427017,manual
Jackson Township Municipal Utilities Authority - Drinking Water,2022,5,Large,Jackson,NJ1511002,manual
"Jefferson Township - Drinking Water, Milton System",2022,0,Medium,Jefferson Twp W U Milton System,NJ1414003,manual
"Jefferson Township - Drinking Water, Lake Hopatcong",2022,0,Medium,Jefferson Twp Water Utility - Lake Hopatcong,NJ1414011,manual
"Jefferson Township - Drinking Water, Vassar Road",2022,0,Small,Jefferson Twp WU Vassar Road,NJ1414016,manual
Jersey City Municipal Utilities Authority (JCMUA),2022,1667,Large,Jersey,NJ0906001,manual
Keansburg Water Department,2022,0,Medium,Keansburg,NJ1321001,manual
Kearny Water Department,2022,154,Large,Kearny,NJ0907001,manual
Keyport Water Department,2022,0,Medium,Keyport,NJ1322001,manual
Kinnelon Water Department,2022,0,Small,Kinnelon,NJ1415002,manual
Lacey Township Municipal Utilities Authority,2022,0,Large,Lacey,NJ1512001,manual
Lake Como Water Department,2022,3,Small,Lake Como WD,NJ1347001,manual
Lake Lenape Water Company,2022,0,Small,Lake Lenape WC,NJ1902003,manual
Lake Tamarack Water Company,2022,0,Small,Lake Tamarak WC,NJ1911003,manual
Lakehurst Water Department,2022,0,Small,Lakehurst,NJ1513001,manual
Lakeshore Water Company,2022,0,Small,Lakeshore,NJ1413001,manual
Lakewood Township Municipal Utilities Authority,2022,0,Large,Lakewood,NJ1514002,manual
Lavallette Water Department,2022,0,Medium,Lavallette,NJ1515001,manual
Liberty Water Company - NJ American Water,2022,227,Large,Liberty,NJ2004001,manual
Lincoln Park Borough Water Department - Jacksonville System,2022,0,Small,Lincoln Park - Jacksonville Sys,NJ1416004,manual
Lincoln Park Borough Water Department,2022,0,Medium,Lincoln Park WD,NJ1416001,manual
Little Egg Harbor Municipal Utilities Authority,2022,0,Large,Little,NJ1019311,manual
NJ American Water - Little Falls,2022,131,Large,Little Falls,NJ1605001,manual
Livingston Township - Drinking Water,2022,0,Large,Livingston,NJ0710001,manual
NJ American Water - Logan,2022,13,Medium,Logan,NJ0809002,manual
Long Beach Township Water Department - Brant Beach,2022,2,Small,Long Beach Twp - Brandt Beach,NJ1517001,manual
Long Beach Township Water Department - High Bar Harbor,2022,0,Small,Long Beach Twp - High Bar Harbor,NJ1517006,manual
Long Beach Township Water Department - Holgate,2022,0,Small,Long Beach Twp - Holgate,NJ1517002,manual
Long Beach Township Water Department - Love Ladies North,2022,0,Small,Long Beach Twp - Love Ladies North,NJ1517005,manual
Long Beach Township Water Department - Love Ladies South,2022,0,Small,Long Beach Twp - Love Ladies South,NJ1517004,manual
Long Beach Township Water Department - North Beach,2022,0,Small,Long Beach Twp - North Beach,NJ1517003,manual
Longport Department of Public Works,2022,0,Small,Longport,NJ0115001,manual
Lower Township Municipal Utilities Authority (LTMUA) - Drinking Water,2022,0,Large,Lower,NJ0505002,manual
Lyndhurst Water Department,2022,1692,Large,Lyndhurst,NJ0232001,manual
Mahwah Water Department,2022,0,Large,Mahwah,NJ0233001,manual
Manasquan Water Department,2022,2,Medium,Manasquan,NJ1327001,manual
Manchester Township Water Utility,2022,0,Large,Manchester Township Water Utility - Eastern,NJ1518005,manual
Manchester Township Water Utility - Western,2022,0,Large,Manchester Twp WU - Western,NJ1518004,manual
Manchester Utilities Authority,2022,4,Large,Manchester Utilities Authority,NJ1603001,join
Mantua Township Municipal Utilities Authority,2022,58,Large,Mantua,NJ0810004,manual
Maple Shade Township - Drinking Water,2022,176,Large,Maple,NJ1511004,manual
Margate City Water Department,2022,0,Medium,Margate,NJ0116001,manual
Marlboro Township Water Utility Division,2022,0,Large,Marlboro,NJ1328002,manual
Matawan Borough Water Department,2022,147,Medium,Matawan,NJ1329001,manual
Medford Township - Drinking Water,2022,3,Large,Medford,NJ0320001,manual
Merchantville Pennsauken Water Commission,2022,435,Large,Merchantville-Pennsauken WC,NJ0424001,manual
Middlesex Water Company,2022,1156,Large,Middlesex,NJ1225001,manual
Milford - Drinking Water,2022,0,Small,Milford,NJ1615340,manual
Milltown Water Department,2022,21,Medium,Milltown,NJ1212001,manual
Millville - Drinking Water,2022,336,Large,Millville,NJ0610001,manual
Mine Hill Township Water Department,2022,0,Medium,Mine,NJ1420001,manual
Monroe Township Municipal Utilities Authority,2022,26,Large,Monroe Twp MUA,NJ0811002,manual
Monroe Township Utility Department,2022,0,Large,Monroe Twp UD,NJ1213002,manual
Montclair Water Bureau,2022,445,Large,Montclair Water Bureau,NJ0713001,join
Montague Water Company,2022,0,Small,Montegue WC,NJ1914002,manual
Montville Township Water Department,2022,56,Large,Montville,NJ1421003,manual
Moorestown Township - Drinking Water,2022,38,Large,Moorestown,NJ0322001,manual
Mount Arlington Department of Public Works,2022,0,Medium,Mount Arlington Boro DWP Main,NJ1426005,manual
Mount Arlington Department of Public Works - Kadel System,2022,0,Small,Mount Arlington DPW Kadel Sys.,NJ1426002,manual
Mount Laurel Township Municipal Utilities Authority (MLTMUA) - Drinking Water,2022,0,Large,Mount Laurel Twp MUA,NJ0324001,manual
Mountain Lakes Water Department,2022,1209,Medium,Mountain Lakes WD,NJ1425001,manual
"Mount Olive Township - Drinking Water, Lynwood",2022,0,Small,Mt Olive DW - Lynwood Estates,NJ1427012,manual
"Mount Olive Township - Drinking Water, Tinc Farm",2022,0,Small,Mt Olive Twp - Tinc Farm,NJ1427015,manual
"Mount Olive Township - Drinking Water, Carlton Hills",2022,0,Small,Mt Olive Twp DW - Carlton Hills,NJ1427014,manual
"Mount Olive Township - Drinking Water, Pinecrest",2022,0,Small,Mt Olive Twp WD - Pinecrest,NJ1427008,manual
"Mount Olive Township - Drinking Water, Sand",2022,0,Small,Mt Olive Twp WD - Sand Shore,NJ1427006,manual
"Mount Olive Township - Drinking Water, Village",2022,0,Small,Mt Olive Twp WD - Village Green,NJ1427007,manual
Mount Olive Villages Water Company,2022,0,Small,Mt Olive Villages WC,NJ1427001,manual
"Mount Olive Township - Drinking Water, Goldmine",2022,0,Small,Mt Olive WD - Goldmine Sys,NJ1427002,manual
National Park Water Department,2022,0,Medium,National,NJ0812001,manual
Netcong Water Department,2022,48,Medium,Netcong,NJ1428001,manual
New Brunswick Water Department,2022,90,Large,New Brunswick WD,NJ1214001,manual
NJ American Water - New Egypt,2022,33,Small,New Egypt,NJ1523003,manual
Newark Water Department,2022,0,Large,Newark,NJ0714001,manual
Newfield Water Department,2022,0,Small,Newfield,NJ0813001,manual
Newton Water Utility,2022,0,Medium,Newton,NJ1915001,manual
NJ American Water - Cape May Court House,2022,32,Medium,NJ American - Cape May Courthouse,NJ0506010,manual
NJ American Water - Mount Holly,2022,318,Large,NJ American - Mt Holly,NJ0323001,manual
North Brunswick Water Department,2022,7,Large,North Brunswick WD,NJ1215001,manual
North Caldwell Water Department - Hilltop System,2022,0,Small,North Caldwell - Hilltop,NJ0715002,manual
North Caldwell Water Department,2022,0,Medium,North Caldwell WD,NJ0715001,manual
Nutley Water Department,2022,110,Large,Nutley,NJ0716001,manual
Oakland Water Utility,2022,0,Large,Oakland,NJ0242001,manual
NJ American Water - Ocean City,2022,413,Large,Ocean City,NJ0508001,manual
Ocean Gate Water Department,2022,638,Small,Ocean Gate WD,NJ1521001,manual
Ocean Township Department of Utilities,2022,13,Medium,Ocean Twp Dept of Utilities,NJ1520001,manual
Ogdensburg Water Department,2022,0,Small,Ogdensburg,NJ1916001,manual
Old Bridge Municipal Utilities Authority (OBMUA),2022,0,Large,Old,NJ1209002,manual
Veolia Water New Jersey - Olde Milford Estates,2022,0,Small,Olde Milford Estates,NJ1615016,manual
Orange Water Department - Veolia,2022,29,Large,Orange,NJ0717001,manual
Park Ridge Water Department,2022,9,Large,Park,NJ0247001,manual
Veolia Water New Jersey - Parkway,2022,0,Small,Parkway,NJ1615006,manual
Parsippany-Troy Hills - Drinking Water,2022,299,Large,Parsippany-Troy,NJ1429001,manual
Passaic Valley Water Commission,2022,6162,Large,Passaic Valley Water Commission PWVC,NJ1605002,manual
Passaic Valley Water Commission - Lodi,2022,51,Large,Passaic Valley WC - Lodi,NJ0231001,manual
Passaic Valley Water Commission - North Arlington,2022,62,Large,Passaic Valley WC - North Arlington,NJ0239001,manual
Passaic Valley Water Commission - High Crest,2022,0,Small,Passaic Valley WC High Crest,NJ1615003,manual
Paulsboro Water Department,2022,39,Medium,Paulsboro,NJ0814001,manual
Pemberton Borough Water Department,2022,28,Small,Pemberton Borough WD,NJ0328001,manual
Pemberton Township Water Department - Main,2022,0,Medium,Pemberton Twp - Dept Main,NJ0329004,manual
Pemberton Township Water Department - Lake Valley,2022,0,Small,Pemberton Twp Water - Lake Valley,NJ0329003,manual
Pemberton Township Water Department - Pemberton Heights,2022,0,Small,Pemberton Twp WD - Pemberton Heights,NJ0329009,manual
Pennington Water Department,2022,51,Small,Pennington,NJ1108001,manual
NJ American Water - Penns Grove,2022,60,Medium,Penns Grove,NJ1707001,manual
Pennsville Township Water Department,2022,0,Large,Pennsville,NJ1708001,manual
Pequannock Township Water Department,2022,0,Large,Pequannock Twp WD,NJ1431001,manual
Pequannock Township Water Department - Cedar Crest,2022,0,Small,Pequannock Twp WD - Cedar Crest,NJ1431002,manual
Perth Amboy Water Department,2022,125,Large,Perth,NJ1216001,manual
Pine Beach Water Department,2022,0,Small,Pine Beach WD,NJ1522001,manual
Pine Hill Borough Municipal Utilities Authority (PHMUA),2022,0,Medium,Pine Hill Borough MUA,NJ0428002,manual
Pinelands Water Company (Middlesex Water Subsidiary),2022,0,Medium,Pinelands,NJ0333001,manual
Pitman Water Department,2022,0,Medium,Pitman,NJ0815001,manual
Point Pleasant Beach Water Utility,2022,0,Medium,Point Pleasant Beach WD,NJ1525001,manual
Point Pleasant Borough Water Department,2022,150,Large,Point Pleasent WD,NJ1524001,manual
Pompton Lakes Boro Municipal Utilities Authority (PLBMUA) - Drinking Water,2022,0,Large,Pompton,NJ1609001,manual
Veolia Water New Jersey - Predmore Estates,2022,0,Small,Predmore Estates,NJ1922021,manual
Ramsey Water Department,2022,263,Large,Ramsey,NJ0248001,manual
Randolph Township Public Works Department,2022,0,Large,Randolph,NJ1432003,manual
NJ American Water - Raritan,2022,9906,Large,Raritan,NJ2004002,manual
Red Bank Water Department,2022,356,Large,Red,NJ1340001,manual
Ridgewood Village - Drinking Water,2022,1322,Large,Ridgewood,NJ0251001,manual
Ringwood Water Department,2022,0,Medium,Ringwood,NJ1611002,manual
Riverdale Boro Water Department,2022,4,Small,Riverdale,NJ1433001,manual
Rockaway Boro Water Department,2022,4,Medium,Rockaway Boro WD,NJ1434001,manual
Rockaway Township Water Utility,2022,0,Large,Rockaway Twp WD,NJ1435002,manual
Rocky Hill Water Department,2022,0,Small,Rocky,NJ1817001,manual
Roosevelt Water Utility,2022,0,Small,Roosevelt,NJ1341001,manual
Roseland Water Department,2022,0,Medium,Roseland,NJ0718001,manual
Rosemont Water Company,2022,0,Small,Rosemont,NJ1007002,manual
NJ American Water - Roxbury,2022,1,Large,Roxbury,NJ1436002,manual
"Roxbury Township - Drinking Water, Evergreen",2022,0,Small,Roxbury Twp WD - Evergreen,NJ1436006,manual
"Roxbury Township - Drinking Water, Shore Hills",2022,0,Medium,Roxbury Twp WD - Shore Hills,NJ1436003,manual
"Roxbury Township - Drinking Water, Sky View",2022,0,Medium,Roxbury Twp WD - Skyview,NJ1436004,manual
Saddle Brook Water Department,2022,0,Large,Saddle Brook WD,NJ0257001,manual
Saddle River Water Utility - Veolia,2022,0,Small,Saddle River WU,NJ0258001,manual
Salem Water Department,2022,0,Medium,Salem,NJ1712001,manual
Veolia Water New Jersey - Sammis Road,2022,0,Small,Sammis Road,NJ1922022,manual
Sayreville Water Department,2022,154,Large,Sayreville,NJ1219001,manual
Sea Girt Water Department,2022,0,Small,Sea Girt WD,NJ1344001,manual
Sea Isle City Water Department,2022,27,Small,Sea Isle City WD,NJ0509001,manual
Seaside Heights Water Department,2022,0,Small,Seaside Heights DE,NJ1526001,manual
Seaside Park Water Department,2022,0,Small,Seaside Park WD,NJ1527001,manual
Ship Bottom Water Department,2022,1670,Small,Ship,NJ1528001,manual
Shore Water Company,2022,0,Medium,Shore,NJ0511003,manual
NJ American Water - Shorelands,2022,5,Large,Shorelands,NJ1339001,manual
Simmons Water Company,2022,0,Small,Simmons,NJ1924002,manual
South Brunswick Township Water Department,2022,0,Large,South Brunswick Twp Water District,NJ1221004,manual
Southeast Morris County Municipal Utilities Authority (SMCMUA),2022,54,Large,South East Morris County MUA,NJ1424001,manual
South Orange Water Department - NJ American Water,2022,156,Large,South Orange WD,NJ0719001,manual
South River Water Department,2022,26,Large,South River WD,NJ1223001,manual
Sparta Township Water Utility - Highlands,2022,0,Small,Sparta Twp WU - Highlands,NJ1918003,manual
Sparta Township Water Utility - Sunset,2022,0,Small,Sparta Twp WU - Sunset Lake,NJ1918013,manual
Sparta Township Water Utility - Lake Mohawk,2022,289,Large,Sparta Twp WU- Lake Mohawk,NJ1918004,manual
Spotswood Water Department,2022,0,Medium,Spotswood,NJ1224001,manual
Spring Lake Water Department,2022,0,Small,Spring Lake WD,NJ1348001,manual
Stafford Township Water Department - Cedar B,2022,0,Small,Stafford Twp MUA Cedar B,NJ1530003,manual
Stafford Township Water Department - Fawn Lakes,2022,0,Small,Stafford Twp MUA Fawn Lawn,NJ1530005,manual
Stafford Township Water Department - Beach Haven West,2022,0,Large,Stafford Twp Water - Beach Haven West,NJ1530004,manual
Stanhope Water Department,2022,0,Medium,Stanhope,NJ1919001,manual
Stockton Water Department,2022,4,Small,Stockton,NJ1023001,manual
Stone Harbor Water Department,2022,0,Small,Stone,NJ0510001,manual
NJ American Water - Strathmere,2022,46,Small,Strathmere,NJ0511001,manual
Veolia Water New Jersey - Birch Hill,2022,1,Small,SUEZ Water NJ Birch Hill Park,NJ1615001,manual
Veolia Water New Jersey - Grandview Estates,2022,2,Small,SUEZ Water NJ Grandview  Estates,NJ1922005,manual
Veolia Water New Jersey - Highland Lakes,2022,0,Small,SUEZ Water NJ Highland Lakes,NJ1922017,manual
Veolia Water New Jersey - Independence Highland,2022,0,Small,SUEZ Water NJ Independence Highland,NJ2112002,manual
Veolia Water New Jersey - Independence Valley View,2022,0,Small,SUEZ Water NJ Independence Valley View,NJ2112001,manual
Veolia Water New Jersey - Lake Conway,2022,0,Small,SUEZ Water NJ Lake Conway,NJ1922012,manual
Veolia Water New Jersey - Lake Glenwood,2022,0,Small,SUEZ Water NJ Lake Glenwood,NJ1922010,manual
Veolia Water New Jersey - Lambertville,2022,91,Medium,SUEZ Water NJ Lambertville,NJ1017001,manual
Veolia Water Manalapan - Knob Hill,2022,0,Medium,SUEZ Water NJ Manalapan Knob Hill,NJ1326002,manual
Veolia Water New Jersey - Montvale,2022,0,Medium,SUEZ Water NJ MontvalePD95,NJ0236001,manual
